id,description,likes,comments,shares,views,authorDataId,authorFollowers,authorFollowing,location,createdAt,updatedAt
446948,"@LuxTrevosa @carvalho_harlen Nunca esquecerei a fila do osso, os pés de galinha e carcaça de frango, a fila do oxigênio, do enterro... O atraso na compra e vacinação, a morte de Paulo Gustavo. O mundo perdeu bastante alegria sem ele. O feijão bichado e bandinha e o arroz quebradinho... Nem ouro e $ no pneu",1,0,1,1,1139,705,951,Vitória ES,2025-05-01 01:41:22.866,2025-05-01 01:41:22.866
446955,@brainletbr Mas o problema não é só Eulavio Ostáquio morando na Espanha e o cartão de vacina?,49,0,0,0,118507,53,408,Georgia - US,2025-05-01 01:44:11.146,2025-05-01 01:44:11.146
446961,@ItaloMarsinh0 Em que país foi isso?O que mais vimos na Fraudemia foi acontecendo esse tipo de coisas aqui no Bostil,1,0,0,0,101026,1550,1400,,2025-05-01 01:47:44.587,2025-05-01 01:47:44.587
446970,"@EU_Commission @vonderleyen This corrupt dictator #pfizergate #freedomofspeech must resign ! With your permission she is destroying our countries, economies, welfare, culture #GreatReplacement ! This evil must be removed , orchestral whole EU must be removed .",0,0,0,0,3911,689,431,Belgistan,2025-05-01 01:58:14.236,2025-05-01 01:58:14.236
446990,Saúde de Aparecida antecipa campanha de vacinação contra a gripe para segunda (31) - Leia no Diário de Goiás: Conteúdo de verdade com jornalismo profissional https://t.co/lfYjdIROAz,0,0,0,0,16384,13676,451,,2025-05-01 02:37:43.320,2025-05-01 02:37:43.32
446992,Delação de Mauro Cid revela tentativa de fraude em certificados de vacinação https://t.co/IOnnhp2M49,0,0,0,0,12411,37836,3370,,2025-05-01 02:40:34.970,2025-05-01 02:40:34.97
447025,Vacinação contra influenza no Rio é ampliada para todos a partir de 6 meses. #Vacinação #Influenza #Saúde #RioDeJaneirohttps://t.co/Hrxz4o8UtI,0,0,0,0,4800,98640,5490,,2025-05-01 03:30:53.145,2025-05-01 03:30:53.145
447052,Ministério da Saúde fecha compra de 57 milhões de doses da vacina contra a Covid-19. #TVCultura #Vacina #Covid https://t.co/Cui4CjXD25,6,0,1,1,4303,885832,233,,2025-05-01 04:10:18.248,2025-05-01 04:10:18.248
447098,▶️ Drive-thru vacina contra gripe e reforça prevenção em Mato Grosso do SulCampanha oferece doses da Influenza e destaca proteção coletiva#UltimasNoticias #CapitalNewshttps://t.co/7gGwJDVtHL,0,0,0,0,243,0,0,,2025-05-01 05:56:58.996,2025-05-01 05:56:58.996
447107,Vacinação contra a dengue é suspensa por falta de doses em Porto Alegre➡️Prefeitura retomará a aplicação do imunizantes quando ocorrer o repasse das vacinas pelo Ministério da Saúdehttps://t.co/YwhsW7mGhI,0,0,0,0,354,7500,31,,2025-05-01 06:11:32.393,2025-05-01 06:11:32.393
447114,"2 milhões de doses da vacina de Oxford chegam ao Brasil na terça, 23 https://t.co/DddrsOFrW9",0,0,0,0,68474,0,0,,2025-05-01 06:29:22.612,2025-05-01 06:29:22.612
447122,"💉 Mais de 2,5 mil crianças e adolescentes estão com a 2ª dose da vacina contra a dengue atrasada em Rio Preto https://t.co/VsTb4VTreY",1,0,0,0,68632,0,0,,2025-05-01 06:45:16.820,2025-05-01 06:45:16.82
447153,Países das Américas intensificam vacinação contra sarampo durante a Semana de Vacinação. #Sarampo #Vacinação #Américas #ODiahttps://t.co/Rp4BDDz12O,6,0,3,3,883,914729,123,,2025-05-01 07:50:31.897,2025-05-01 07:50:31.897
447158,Campina Grande inicia vacinação contra gripe nesta segunda-feira https://t.co/rDprA37pK7,0,0,0,0,12783,112140,19475,,2025-05-01 08:05:18.648,2025-05-01 08:05:18.648
447161,Campina Grande é a cidade que mais vacina em dia D pela sétima vez na Paraíba https://t.co/G6Qp9HNzcb,0,0,0,0,7206,28486,5404,,2025-05-01 08:10:22.120,2025-05-01 08:10:22.12
447176,💉 Anvisa exige retenção de receita para venda de Ozempic #sbtnewsDecisão foi tomada após o Conselho Federal de Medicina (CFM) pedir maior controle sobre uso do medicamentohttps://t.co/i3U2TOuLQR,2,0,0,0,5187,589809,165,,2025-05-01 08:59:30.339,2025-05-01 08:59:30.339
447187,Ministério da Saúde pede incorporação de vacina contra o herpes-zóster ao SUS https://t.co/lkS9yd6LJz,530,12,52,52,1730,0,0,,2025-05-01 09:31:27.037,2025-05-01 09:31:27.037
447190,A cobertura vacinal no município está em 27%. População deve procurar a UBS mais próxima para se vacinar.Leia mais 🔗 https://t.co/IiaYUxhAMF,0,0,0,0,68702,0,0,,2025-05-01 09:43:43.297,2025-05-01 09:43:43.297
447288,"💉 Mês de Vacinação dos Povos Indígenas visa proteger 72 mil indígenas em todo o país👮 PF, IBAMA e FUNAI deflagram operação contra garimpo ilegal em áreas de povos indígenas isolados",47,0,13,13,14900,671351,194,,2025-05-01 15:38:31.396,2025-05-01 15:38:31.396
447292,"@Poder360 kkkkkkkkkkkkkkkkkkkjá que tem otário que acredita em aquecimento global, vacina feita nas coxas e tudo mais, vai acreditar nisso ai tbm.",3,1,0,0,130853,323,1190,Brasil,2025-05-01 15:57:18.616,2025-05-01 15:57:18.616
447311,"Dr Dráuzio já falou e a gente reforça:✔️ Vacina funciona✔️ Vacina salva vidas✔️ Vacina é SUS!É ciência, é proteção, é cuidado com quem você ama. Não vacile: vacine-se. 💉Via 📲: @govbr #VacinaÉVida #ConfiaNoSUS #VivaoSUS https://t.co/6hr2p63v0q",350,30,104,104,5088,1532468,2326,Brasília / Brasil,2025-05-01 17:53:15.472,2025-05-01 17:53:15.472
447323,"SC recebe 50 mil doses da vacina contra a Covid-19. O estado estava sem estoque do imunizante desde julho.Diante da nova variante, a XEC, a imunização deve ser reforçada em SC. 🦠▶️ Saiba mais: https://t.co/tTp1KLroZQ#SC #SantaCatarina #Covid #Vacina #Saúde #Vacinação https://t.co/S9HCSZCSbz",0,0,0,0,12692,5897,840,Florianópolis - Santa Catarina,2025-05-01 18:03:26.240,2025-05-01 18:03:26.24
447326,"@Antonio46716108 @LalaPatriota @schmittpaula Isso aí. A bandidagem queria aumentar os casos registrando como covid qualquer morte era pra acusar JB de ""genocidio"", usando a falácia de q ele atrasou a compra de 💉E bobos desinformados como vc caiam como patinhos. A vacinação  no mundo começou em dezembro e no BR em Janeiro",0,0,0,0,77947,12487,12962,,2025-05-01 18:04:09.090,2025-05-01 18:04:09.09
