id,description,likes,comments,shares,views,authorDataId,authorFollowers,authorFollowing,location,createdAt,updatedAt
409081,"@LouisPaste33481 É complicado pensar nisso quando tinha, literalmente, uma contra-campanha de vacinação imbuída das maiores fantasias e burrices rolando. Seria muita irresponsabilidade do Estado.",3,0,0,0,29013,8777,2361,"São Paulo, Brasil",2025-03-01 00:31:35.916,2025-03-01 00:31:35.916
409201,"@DaAcervo Os cabecinhas de 💩💩foram todos na conversinha da vacinação e agora culpam os que não se vacinaram.. Nãofoi por falta de falar,.. eles que não quiseram ouvir..Cada qual com seus problemas e teimosia em não pensar antes,.. pois foi falado e muito sobre reações adversas... https://t.co/uTOpJ3sSGA",1,0,0,0,121623,610,832,CAMPINAS,2025-03-01 01:56:33.056,2025-03-01 01:56:33.056
409347,"@gleisi Recordes do DESGOVERNO LULI*RECORDE EM DESMATAMENTO *RECORDE DE DENGUE*RECODE DE TAXA DE JUROS *RECORDE DE DESCARTAMENTO DE MEDICAMENTOS E VACINA *RECORDE NA QUEDA DE POPULARIDADE *RECORDE DE NEGATIVO PARA 90% DO MERCADO E ASSIM VAI VAI , CADA DIA PIOR",12,1,1,1,121585,216,197,,2025-03-01 02:09:59.837,2025-03-01 02:09:59.837
409345,"@canalgov @LulaOficial Grandes merda! O país continua c/inflação galopante q consome o bolso do cidadão, continua c/o crescimento do desmatamento da Amazônia, continua c/o negacionismo de 1 ministra q não se vacina p/completo e c/um mentiroso no poder e seus cupinxas ficando cada vez + ricos.",1,0,0,0,9761,341,420,Brasília,2025-03-01 02:09:59.837,2025-03-01 02:09:59.837
409481,[@laurojardim] Anúncio de nova vacina contra a dengue expõe a pressa do governo em veicular boas notícias https://t.co/snYTcOsUKn,30,13,4,4,653,7311625,7185,,2025-03-01 04:02:26.075,2025-03-01 04:02:26.075
409483,Detalhes revelados! ⚖️ 🗣️ O tenente-coronel Mauro Cid deu detalhes da atuação de Bolsonaro em outros dois casos nos quais o ex-presidente é indiciado: fraude em cartão de vacina e joias sauditas. https://t.co/5uITsEgA2l,0,0,0,0,34498,0,0,,2025-03-01 04:08:05.204,2025-03-01 04:08:05.204
409507,📢Bronquiolite: o que vai mudar na prevenção de VSR com nova vacina no SUS? #sbtnews Rede pública de saúde também anunciou que irá incorporar novo anticorpo monoclonal; prazo para ficar disponível pode chegar a 9 meseshttps://t.co/VLU5xyQykx,1,0,0,0,5187,589809,165,,2025-03-01 04:50:30.321,2025-03-01 04:50:30.321
409508,"➡️Servidor de saúde é preso em SP por fraudar sistema de vacinação sobre CovidNa operação também foram apreendidos armas de fogo, munições, celulares e outros dispositivos eletrônicos #sbtnews https://t.co/9Czu1nTnOT https://t.co/vIGaLbvlAU",2,0,2,2,5187,589809,165,,2025-03-01 04:50:30.321,2025-03-01 04:50:30.321
409598,"Terceiro indiciamento de Bolsonaro pela PF :1º- Roubo de joias para financiar fuga golpista;2º- Falsificação de cartão de vacina para fugir do país e 3º- Coordenar, dirigir e efetivar o processo de tentativa de golpe de estado. Agora é com a PGR.#DenunciaGonet https://t.co/yUVFwsEeVg",378,35,100,100,12068,136409,6074,,2025-03-01 06:30:27.145,2025-03-01 06:30:27.145
409599,Síntese da ORCRIM coordenada por Jair Bolsonaro para impor o terror no país. São 21 minutos imperdíveis. Na CPMI havíamos detectado que o roubo das joias e falsificação dos cartões de vacina faziam parte do esquema de fuga no caso de fracasso golpista.   https://t.co/jOMQipsEJK,368,11,84,84,12068,136409,6074,,2025-03-01 06:30:27.145,2025-03-01 06:30:27.145
