id,description,likes,comments,shares,views,authorDataId,authorFollowers,authorFollowing,location,createdAt,updatedAt
475897,"Ministro da Agricultura anuncia que foco de gripe aviária em Montenegro está contido. No raio de 10 quilômetros da granja afetada, foram identificados 540 estabelecimentos rurais, e todos já foram vistoriados. https://t.co/wMwaSUzQMohttps://t.co/wMwaSUzQMo",0,0,0,0,791,48693,803,,2025-06-01 00:14:15.684,2025-06-01 00:14:15.684
475921,"JAMAIS ESQUECEREMOS. A máfia dos vampiros, lembra, PETRALHA? Aquela organização que superfaturava e fraudava licitações no ramo de hemoderivados distribuídos à rede pública pelo Ministério da Saúde. Que desviou R$ 2 bilhões do MS entre 1992 e 2003. #OLadraoNaoVaiSubirARampa",113,5,17,17,68760,0,0,,2025-06-01 00:37:31.795,2025-06-01 00:37:31.795
475924,Mais de 150 cidades e 1 milhão de pessoas do sul de MG já contam com novas ambulâncias do SAMU. Elas foram entregues na sexta feira em Varginha após o meu trabalho e de minha equipe para liberá-las junto ao Ministério da Saúde. https://t.co/YUGnADjuc2,14,0,1,1,132326,0,0,,2025-06-01 00:39:51.888,2025-06-01 00:39:51.888
475967,as ações do Eduardo Leite pela população LGBTQIA+: deixar morrer afogado em enchente e de câncer de útero por exame falsificado,6,0,0,0,411,412,227,"Salvador, Brasil",2025-06-01 01:39:24.672,2025-06-01 01:39:24.672
475978,@jmflter ai n fala de vacina eu tinha que ter tomado a da gripe antes dessa frente fria 🫠,1,1,0,0,132662,3245,3037,,2025-06-01 01:56:11.725,2025-06-01 01:56:11.725
475979,"Tomei um banho de chuva, tá um frio de 12 graus, sensação térmica acho que de 5 😭😭 tô me recuperando de uma gripe e uma crise da SOP 😭😭😭Seokjin vem me buscaaaar 😭😭😭",1,0,0,0,132283,572,1091,I'm the one I should love,2025-06-01 01:56:14.644,2025-06-01 01:56:14.644
476023,"Depois de comemorar o Covid19 (""ainda bem que a natureza criou o coronavirus"") agora diz que a falta de água no sertão é obra de Deus"")!!",1,0,0,0,132504,23,36,,2025-06-01 02:56:32.027,2025-06-01 02:56:32.027
476025,"@Fernanda_CidL Não. Estas coisas só se descobrem quando vão embarcar...É o mesmo método que adotam p/ prender ""foragidos"" da justiça...Os filhos das putas já sabem que são os prováveis barrados.Ninguém do STF, MPF, PF,... irão arriscar. Alegarão que não tem passaporte vacinal. Kkk",2,1,0,0,132667,89,676,,2025-06-01 02:58:39.558,2025-06-01 02:58:39.558
476026,"@dias_tata_ @lscec22 Mudaram a fórmula da v4cina, colocaram uma química que está provocando efeitos colaterais gravíssimos, vários médicos não estão recomendando.",2,2,0,0,88733,339,402,"Sao Paulo, Brazil",2025-06-01 02:59:01.166,2025-06-01 02:59:01.166
476028,@MARILINEMARILI6 @MedicoLiberdade Esse negócio de ter que tomar anualmente ou de tempos em tempos é só em país lixo. A própria OMS recomenda só uma dose. Joga essa perguntas no chatgpt  e verá links com informações sobre dose única. Vc pelo visto é  do tipo q fez fila pra dose do reforço do reforço 🤣🤣🤣,4,1,0,0,132506,5,13,,2025-06-01 02:59:13.525,2025-06-01 02:59:13.525
476029,@Rosilen37552970 @juliette @MarinaSilva Preferência pra fila do osso no açougue? Pagar 8 reais no litro da gasolina? Prefere que o teu Presidente diga pras pessoas não se vacinaram? Imbecil! Juliette é Gigante,1,0,0,0,132670,0,82,,2025-06-01 02:59:41.839,2025-06-01 02:59:41.839
476035,"@Como_Tanka @norcianna Você poderia ir sem problema nenhum, playboy vagabundo. Depois ia encher a cara e ia voltar dirigindo",260,3,0,0,130999,46,40,,2025-06-01 03:01:55.116,2025-06-01 03:01:55.116
476036,"Explorando os eventos adversos da vacinação contra a COVID-19 da Oxford–AstraZeneca, Pfizer-BioNTech, Moderna e Johnson &amp; Johnson na Síndrome de Guillain-Barré | Relatórios Científicos https://t.co/MiX2vbAL6I",159,2,64,64,1884,88209,624,,2025-06-01 03:02:03.411,2025-06-01 03:02:03.411
476040,Quando é que o povo vai acordar sobre o veneno de MRNA? https://t.co/AQgxGj1JX6,13,0,2,2,2469,131495,4112,,2025-06-01 03:02:51.170,2025-06-01 03:02:51.17
476042,"Corrupção entre periódicos científicos financiados pela indústria farmacêutica:Professor Angus Dalgleish: ""Há um grupo de pesquisadores financiado pela Pfizer e pelo NIH [e] se eles veem um [artigo] negativo sobre a vacina [eles] intimidam o editor até que ele o retire""",394,4,156,156,1940,75228,1016,"Natal, Brasil",2025-06-01 03:03:49.556,2025-06-01 03:03:49.556
476044,"@joao_jpcardosos @Boltz Eu poderia muito bem concordar com vc meu amigo, mas ai seriam duas pessoas falando merda.",1,0,0,0,589,30,309,"Coroatá, Brasil",2025-06-01 03:04:30.381,2025-06-01 03:04:30.381
476045,ESTUDO CHOCANTE: PROTEÍNA SPIKE ENCONTRADA NO CÉREBRO DE VÍTIMAS DE AVC ATÉ 17 MESES APÓS A INJEÇÃOUm novo estudo chocante expôs os perigos persistentes das vacinas de mRNA contra a CV-19... Essa evidência contundente destrói as alegações fraudulentas do CDC de que as vacinas… https://t.co/9JGoQDQRO1,1,0,1,1,72340,8,8,,2025-06-01 03:04:44.435,2025-06-01 03:04:44.435
476049,"⚠️🚨⚠️🚨 Efeitos da inoculação de mRNA do C19.Ele estava discursando e, de repente, olhou para cima e morreu.Segundo os governos, isso é desinformação. https://t.co/7loSregkz6",2,0,0,0,68754,3352,5364,Florida/Texas/ Freedom Brazil,2025-06-01 03:05:08.366,2025-06-01 03:05:08.366
476052,"@Aquileon_ @Arefsoid @EstamosNoBrasil poderia ter tomado 20, a vacina não tem qualquer relação com AVC",1,0,0,0,132759,153,839,Brazil,2025-06-01 03:06:18.107,2025-06-01 03:06:18.107
476076,"@minsaude Farmácia viva em todas as UBS, eis o caminho sagrado...",2,0,0,0,132743,194,239,,2025-06-01 03:15:42.497,2025-06-01 03:15:42.497
476078,"""Audiência Pública em Florianópolis/SCTema: Obrigatoriedade da 💉 Vacinação Infantil contra a COVID-19 🦠30 de junho de 2025 (2ª feira) ás 19h às 21h 📍 Plenarinho Paulo Stuart Wright Palácio Barriga Verde – ALESC Rua Doutor Jorge Luz Fontes, 310Ajude na arrecadação para… https://t.co/yhS0aBxMPd",1,0,0,0,567,4629,686,"Tampa, FL",2025-06-01 03:16:02.972,2025-06-01 03:16:02.972
476084,@RafaelFontana E esse ? Propagador liberal de palestras dos sinistros e campeões nacionais. Ficará impune ? Lobista de vachina ... https://t.co/B2vL4NLiiY,1,0,1,1,17482,384,326,"Moscovo, Rússia",2025-06-01 03:16:50.391,2025-06-01 03:16:50.391
476088,"A PREVARICAÇÃO no Esclarecimentos  do Genocídio Global provocado pela Terapia Genética do Covid 19 e dos envolvidos na Rede de Pedofilia e Tráfico Humano do Caso Epstein  colocam os EUA como ponta de lança, CUMPLICES e PROMOTORES  da Nova Ordem Mundial",15,1,2,2,82904,222,455,,2025-06-01 03:18:41.877,2025-06-01 03:18:41.877
476092,"@padilhando A melhor prevenção é ar limpo, ambiente ventilado, máscaras. Ministro, quando poderemos tomar vacina contra covid ATUALIZADA? Meus pais idosos estão esperando e em São Paulo não tem em nenhum lugar.",14,1,2,2,2970,54,371,"Auckland, NZ / Aotearoa",2025-06-01 03:19:07.017,2025-06-01 03:19:07.017
476095,"@dimasmdidi @Machado_Danilo @Sanrenan @thairizard Tu não se vacina, passa covid pra outra pessoa que, por diversas razões, acaba morrendo.Claro, é só sua liberdade que tá em jogo.Agora, TU NÃO TEM MARQUINHA DE VACINA DE CRIANÇA?Hipocrisia do caralho",8,3,0,0,132682,1028,3077,Brazil,2025-06-01 03:19:25.982,2025-06-01 03:19:25.982
476105,"@JooNing41444228 @schmittpaula @folha Por que outro motivo aplicariam ela assim q a criança nasce? A hepatite e a bcg não deixam ninguém escapar de tomar. Não faltam nos hospitais até onde eu tive notícia. Faltam insumos básicos mas essas vacinas não. Quando eu era criança, ainda davam 2 doses.",1,0,0,0,132683,68,143,,2025-06-01 03:22:03.394,2025-06-01 03:22:03.394
476106,postei na minha rant: tô escrevendo uma fanfic gótica/romântica do nico e do juju! onde o nico é um vampiro cansado da vida imortal e o euijoo é um jovem com tuberculose em seus momentos finais… amo sofre!! Tem final feliz!! Querem?,5,5,0,0,132684,345,389,Wen Junhui,2025-06-01 03:22:43.877,2025-06-01 03:22:43.877
476107,@LesEchos et sur le #pfizergate ??? mdr #vonderLeyen #elon_musk @ThierryBreton,1,0,0,0,3900,1334,3966,,2025-06-01 03:24:01.833,2025-06-01 03:24:01.833
476109,"Hepatite não tenho certeza se estou portanto ainda, mas tenho certeza que tinha cimento na formulação daquela vacina, pq pqp parece que cimentaram meu braço",3,0,0,0,132687,32,32,"Ponta Porã, Brasil",2025-06-01 03:24:59.547,2025-06-01 03:24:59.547
476110,@gotconfissoes Infelizmente Rhaegar seu teste de positivo para DST sim deu positivo para sífilis clamídia gonorreia hepatites A B e C Verruga genial HPV vaginose doença inflamatória pelvica herpes a ruim não a bucal não a bucal tbm fungos vaginais fungos penianos cancroide tricomoníase e  chato,2,0,0,0,132519,566,1084,Cama do Jaime ,2025-06-01 03:25:01.890,2025-06-01 03:25:01.89
476119,"#Vacina 💉 A ETEC Dona Escolástica Rosa foi a primeira da redes estadual a receber o programa da Prefeitura de Santos. Os alunos adolescentes receberam doses contra covid-19, difteria, tétano, hepatite B e gripe. Saiba maishttps://t.co/qgdirWaTrE",1,0,0,0,6327,54542,118,,2025-06-01 03:28:04.149,2025-06-01 03:28:04.149
476120,@RestrictedVids Ou o carro pega DST ou ela tétano.,3,0,0,0,132690,753,1216,"Vitória, Brazil",2025-06-01 03:28:18.167,2025-06-01 03:28:18.167
476129,"@ocoala01 eu queria ser uma parasita cerebral pra adentrar no oco conteúdo do cérebro da nossa coqueluche do momento, vulgo Raquel Brito, e entender o que se passa com tanto vão e espaço https://t.co/76g1mJQCyO",13,0,0,0,115012,670,463,,2025-06-01 03:30:39.879,2025-06-01 03:30:39.879
476134,"@FariaThiago16 @bellesuarez AIDS, vacinas.. as pessoas param de sofrer dessas enfermidades/transtornos e, não apenas se descuidam, como passam a acreditar em teorias de conspiração completamente fora da casinha, como vimos nos últimos anos ""Pra que tomar vacina contra poliomelite?? Isso não existe!!""",11,0,1,1,132580,269,672,021,2025-06-01 03:33:49.147,2025-06-01 03:33:49.147
476135,"como disse o grande Peter Griffin, pólio antigamente era como a AIDS hoje, com a diferença de que quem tem pólio vai pro céu",9,0,0,0,132692,141,404,S. Catharina,2025-06-01 03:33:50.218,2025-06-01 03:33:50.218
476136,@MotaDnis @Ben_Hur_Lopes @PaladinRood Salk testou sua vacina inicialmente em um pequeno grupo de voluntários e em sua família. Só obteve recursos para um grande estudo placebo-controlado após apresentar seus resultados para a Fundação Nacional para a Paralisia Infantil. Esse estudo foi realizado em 1954.,2,2,0,0,3107,1575,248,,2025-06-01 03:34:01.755,2025-06-01 03:34:01.755
476140,"@cesarapsilva @nedoliveira1 Inúmeras vacinas já tiveram o uso suspenso após reações adversas que não superavam os benefícios. Vacinei meu filho com uma de rotavírus caríssima, no pediatra, que foi uma delas. Imagina o ódio que fiquei também Cesar.",1,1,0,0,23175,1093,1065,Itália ,2025-06-01 03:36:41.497,2025-06-01 03:36:41.497
476144,"@Flaviamaynarte Já falei que não tenho pena não. Gente burra merece isso mesmo. Morrer de doença que já tem vacina. Gripe, COVID, sarampo.",7,0,1,1,1047,492,2820,"Nova Friburgo, Brazil",2025-06-01 03:37:26.144,2025-06-01 03:37:26.144
476145,"vtf não tô com escabiose nem rubéola, estou de volta!",1,1,0,0,132695,197,200,"Belém, Pará",2025-06-01 03:37:31.154,2025-06-01 03:37:31.154
476147,@taoquei1 Uma completa idiota da boca torta é caxumba recolhida idiota?Bolsonaro preso pela segunda vez.,21,6,0,0,17199,1163,1518,,2025-06-01 03:37:49.907,2025-06-01 03:37:49.907
476155,"@patriciacunhaap já  faz  uns  vinte dias que  tomei a  vacina, só preciso  tomar a da zoster, essa é  só  pagando",1,0,0,0,16612,407,534, São Paulo   Brasil ,2025-06-01 03:40:12.373,2025-06-01 03:40:12.373
476156,@kinhobest ele ta com catapora?,4,0,0,0,132698,2107,1458,,2025-06-01 03:40:22.129,2025-06-01 03:40:22.129
476164,"2) A meningite é uma inflamação das membranas que envolvem o cérebro e a medula espinhal. Pode ser causada por vírus, bactérias ou fungos. A forma meningocócica bacteriana é a mais grave — e potencialmente fatal.",8,1,0,0,506,15367,1670,"Sergipe, Brasil",2025-06-01 03:43:27.197,2025-06-01 03:43:27.197
476172,@Pobelke @DrRicardoKores Pq n passa hpv pela comida,36,1,0,0,132701,17,99,,2025-06-01 03:46:05.535,2025-06-01 03:46:05.535
476173,"@padilhando Boa ministro, mas libera a vacina do HPV para adultos",5,1,1,1,132578,865,1495,"Fortaleza, Brazil",2025-06-01 03:46:15.235,2025-06-01 03:46:15.235
476174,"@BlancMirna Ah tríplice é de graça nos postos de saúde, a quadrivalente custa R$79 reais mas farmácias.",5,1,0,0,17352,20858,490,Nomad,2025-06-01 03:46:18.126,2025-06-01 03:46:18.126
476175,"@MrOwlV @Pobelke @DrRicardoKores Amiga, só corrigindo, o video fala sobre o virus HIV (aids), n sobre o virus HPV (papilomavirus). Mas de qualquer forma, não é possivel ser transmitido pela comida mesmo.",3,1,0,0,132355,2,3,"Sintra, Portugal",2025-06-01 03:46:26.437,2025-06-01 03:46:26.437
476176,"@CaptainJFlint93 Sim, o negócio é feio. Sem falar no HPV que pode levar a câncer de útero e de pênis. As pessoas não levam a sério. Quando a gente vê o tanto de casos, fica com medo mesmo de conhecer alguém viu kkkkkAh não, a tuberculose não é IST, mas a gente associa ao HIV porque é a maior",1,2,0,0,4516,2878,790,43 y | frieren & ghibli | bsd,2025-06-01 03:46:32.271,2025-06-01 03:46:32.271
476188,"@pardodedireita2 @Fernand95764641 @sluijsgu @g1 Em 2020, Lula disse que ""ainda bem que a natureza criou esse monstro chamado coronavírus"" para destacar a importância do Estado em crises, criticando a privatização. A frase gerou polêmica, sendo vista como insensível devido ao alto número de mortes por COVID-19. Lula se",2,0,0,0,128140,1938636,2,wherever you are,2025-06-01 03:50:26.799,2025-06-01 03:50:26.799
476189,"@DanPimpao A vacina  que eu queria era a da ampola que ele carrega no meio das pernas, mas essa, é  como a da Covid na época  do Bolsonaro...não está sendo distribuída como deveria  e a fila de espera é  grande demais  .",2,0,0,0,132728,181,582,,2025-06-01 03:51:44.444,2025-06-01 03:51:44.444
476192,@FascismoFree Os caras que deixaram o sars-cov 2 escapar do lab.,1,1,0,0,31622,42,74,Brasil,2025-06-01 03:52:03.847,2025-06-01 03:52:03.847
476197,"Será que dps de atender trocentos casos de influenza, veio aí a minha vez? Garganta já tá arranhando",4,0,0,0,132712,273,228,,2025-06-01 03:52:51.384,2025-06-01 03:52:51.384
476203,@morais77533 @gildaodonorte @ferllenaf @republiqueBRA @grok Meu Primo foi trocar pneu e morreu de covid tbm fodacce,1,1,0,0,132761,70,952,"Salvador, Brasil",2025-06-01 03:56:42.653,2025-06-01 03:56:42.653
476204,"A Secretaria Municipal de Saúde de Porto Alegre divulgou que, até o momento, todas as mortes registradas este ano por gripe (influenza) e Covid-19 na capital gaúcha ocorreram entre pessoas não vacinadas. https://t.co/dt9OWB3uil",0,1,0,0,23446,1563,25,"Porto Alegre, Brasil",2025-06-01 03:56:57.345,2025-06-01 03:56:57.345
476205,"Sim, a Nina já chorou hoje.",1,0,0,0,132714,164,164,B612,2025-06-01 03:57:24.672,2025-06-01 03:57:24.672
476211,.@WHO preocupada com surtos urbanos de #febreamarela nas Américas. @pahowho diz que Brasil é o país mais afetado pela doença na região; casos no estado de São Paulo soam alerta sobre risco de transmissão em áreas densamente povoadas.https://t.co/yW18Loacek,1,0,3,3,1165,8322,191,Sede da ONU em Nova Iorque,2025-06-01 04:01:51.838,2025-06-01 04:01:51.838
476213,"meus colegas em NY achando incrível que eu já tinha visto dengue, zika, leishmaniose, chagas…e eu vendo lyme pela primeira vez",12,0,0,0,1507,280,331,,2025-06-01 04:02:40.936,2025-06-01 04:02:40.936
