id,description,likes,comments,shares,views,authorDataId,authorFollowers,authorFollowing,location,createdAt,updatedAt
431364,@DraIracema_ @govbr Reforço o que você dose.,1,0,0,0,128,2076,2920,"Recife, Brasil",2025-04-01 00:21:09.398,2025-04-01 00:21:09.398
431367,"@Francishf123 @MotaDnis @rsenrao @joao_r_grillo @roroners @desireerugani Eae! Estudos mostram que os efeitos colaterais da vacina COVID-19 são geralmente menos graves que os do vírus. A vacina pode causar dor no local, cansaço e, raramente, miocardite (mais em jovens), mas é leve e passa rápido. Já o vírus pode levar a pneumonia, long COVID e… https://t.co/te7PJ4iSHr https://t.co/p3rIuSJKpN",1,1,0,0,128140,1938636,2,wherever you are,2025-04-01 00:23:17.997,2025-04-01 00:23:17.997
431373,"@CarolBrito31 @MedicoLiberdade @mab_sp125 Você ser de esquerda já lhe confere o título de idiot∆, meus filhos minhas regras, não se vacinaram com esse veneno e nem irão se vacinar, já os teus pode socar 30, mas não venha com camisetinha da saudade se algo der errado ... https://t.co/VTX3JC1fDs",2,0,0,0,128967,2687,4827,Fly Away,2025-04-01 00:24:35.811,2025-04-01 00:24:35.811
431375,"@mra11811 @mozartg @ducavendish Eu aposto que você QUISER, que os lucros bilionários da BigPharma com C-19 nem arranham a superfície do que eles ganham com má alimentação e obesidade TODOS OS ANOS, HÁ ANOS.",7,2,0,0,128968,399,835,"Campina Grande, Brasil",2025-04-01 00:25:18.101,2025-04-01 00:25:18.101
431377,"@bfonsec Eu acho que você deveria aprender a escrever direito antes de falar merda. E antes disso estudar a diferença entre mRNA, tRNA, rRNA e DNA.",26,1,0,0,72289,5462,1111,Brazil,2025-04-01 00:25:32.002,2025-04-01 00:25:32.002
431379,"@DAntireds @do_fliper @ProfDenisePires Sim, estudos mostram que a proteína spike da vacina de mRNA pode persistir no sangue de algumas pessoas por até 6 meses. Um estudo (Proteomics, 2023) detectou fragmentos em 50% dos vacinados até 187 dias. Outro (Circulation, 2023) achou proteína intacta em casos de miocardite https://t.co/DFnlc4ZGZV",21,1,2,2,128140,1938636,2,wherever you are,2025-04-01 00:25:49.968,2025-04-01 00:25:49.968
431382,"@CNNBrasil KkkkkkkkkkkVax veneninho da Astrazeneca ficou no mercado muito tempo depois de todos os países proibirem seu uso por reações adversas. A anvisa nãovdeu um pio. Uma piada a preocupação com a pasta de dente. Por sinal, uso pastas naturais a base de ervas. Saí da pharma faz muito.",1,0,0,0,29278,190,217,,2025-04-01 00:27:10.065,2025-04-01 00:27:10.065
431383,@IceSohei Fora o número de mortes súbitas 🤷 é infarto que não acaba mais..,1,0,0,0,26199,134,369,"Sao Paulo, Brazil",2025-04-01 00:27:22.821,2025-04-01 00:27:22.821
431385,@LeoPirao Esse cara foi um mártir na fraudemia. Merece uma estátua reconhecendo que ele se levantou contra a tirania.,22,1,0,0,4809,461,710,,2025-04-01 00:27:41.612,2025-04-01 00:27:41.612
431387,@AvelinoReAu É a implementação do plano 2030Da redução populacional Da ausência de empregos Da renda básica Do dinheiro carimbado (CBDC) o Drex tá logo aí...Muito antes de ficar bom para quem sobrar vai ser um caos E na minha parca visão não há nada que possamos fazer contra isso.Serão… https://t.co/ME5l1YmBvM https://t.co/DxpOCgK2so,21,2,2,2,128973,9153,7904,,2025-04-01 00:28:13.359,2025-04-01 00:28:13.359
431398,ARTIGO:  Crianças vacinadas c/ mRNA correm maior risco de CÂNCEREstudo alemão descobriu que crianças que receberam 2 doses da #vacina de mRNA contra #COVID-19  Pfizer tiveram danos no sistema imunitário 1 ano após vacinação e risco elevado de desenvolver cancro durante a vida,1,0,0,0,1929,7073,7103,,2025-04-01 00:34:19.059,2025-04-01 00:34:19.059
431419,"@AntonioMaestre Y ahora qué, FASCISTA HIJO DE LA GRAN PUTA?? Inmunidad colectiva, vacunación (inútil) a la fuerza. Un lumbreras el bien pagao... 😈😈😈#pfizergate #GlobalfascismoCorporativo https://t.co/cUWW3OWsa8",1,0,1,1,195,60,90,,2025-04-01 00:44:39.267,2025-04-01 00:44:39.267
431426,"@minsaude Parte da desconfiança permanece c/ o apagamento da doença pelo atual ministério. Muitos acreditam q acabou, pq não se fala sobre. Nunca foi realizada uma campanha educativa a respeito da transmissão e da prevenção da doença. Isso era urgente, após um governo q mentiu sobre COVID.",3,0,0,0,405,181,459,Brasil,2025-04-01 00:48:38.090,2025-04-01 00:48:38.09
431431,@morispvd19 @MedicoLiberdade @mab_sp125 Não se chama isso de vacina e sim de terapia gênica.,1,0,0,0,9780,42,539,,2025-04-01 00:50:13.656,2025-04-01 00:50:13.656
431495,SAÚDEGoverno anuncia vacina 100% nacional contra a dengue no SUS em 2026Leia mais em: https://t.co/vri7ZnopQi#CompartilheACrítica,1,0,0,0,6247,0,0,,2025-04-01 01:27:37.155,2025-04-01 01:27:37.155
431523,💉 Trabalhadores do turismo recebem vacinação contra sarampo no Rio de Janeiro. 📲 #RecordNewshttps://t.co/20GsDxyKUD,0,0,0,0,35922,0,0,,2025-04-01 01:58:05.833,2025-04-01 01:58:05.833
431605,Rio amplia a faixa etária para a vacinação contra a dengue; saiba mais https://t.co/F36Tjtgltz,6,0,1,1,7057,0,0,,2025-04-01 03:06:38.138,2025-04-01 03:06:38.138
431656,Por David Uip --&gt; A vacina brasileira contra denguehttps://t.co/SvdsaJnRaP,17,3,0,0,247,2750643,3,,2025-04-01 03:32:25.379,2025-04-01 03:32:25.379
431682,Apenas 20% do público-alvo recebeu a 1ª dose da vacina contra dengue em Porto Alegre. Imunizante está disponível para jovens de 10 a 14 anos desde o ano passado; Prefeitura planeja busca ativa para aumentar cobertura. https://t.co/rf5GzSF3Si,0,1,0,0,791,48693,803,,2025-04-01 04:02:28.655,2025-04-01 04:02:28.655
431740,Climate enlightenment cannot be achieved without mRNA vaccination and at least 17 booster shots.#ClimateChange,0,0,0,0,76820,4,17,,2025-04-01 07:12:22.533,2025-04-01 07:12:22.533
431745,"@DAntireds @grok @do_fliper @ProfDenisePires Vc está querendo induzir ele a mentir só para que a resposta dele se adeque ao eco que faz na sua cabeça. Todo mundo que leu a thread já percebeu. Passou vergonha, agora vê se aceita que não tem nada demais em tomar a vacina do COVID e que foi enganado por teorias conspiratórias",6,0,0,0,128291,76,1665,,2025-04-01 07:54:26.458,2025-04-01 07:54:26.458
431747,"@CarlosA08207052 @GeneralMourao A única vacina aprovada pela Anvisa que faltou foi a da dengue, no governo Lula.A enchente do Rio Grande do Sul foi uma catástrofe sem precedentes e adivinha? Governo Lula!Queremos justiça sim e dessa vez que o Pula pegue 30 anos de cadeia.",7,0,0,0,15850,10229,10594,"Washington, USA",2025-04-01 08:12:05.372,2025-04-01 08:12:05.372
431775,"@ds23buzzo @joaogom95188080 A vacina da gripe é mrna agora cuidado , tbm começaram os testes de vacinar com mrna os animais que comemos na UE.Parece que a bíblia pode estar certa mais uma vez , fugir para as montanhas e florestas será a única maneira de não ser vacinado.",1,0,0,0,9848,32,70,,2025-04-01 11:55:25.200,2025-04-01 11:55:25.2
431776,@PopTopNow @wladi @izzynobre O atraso na compra da vacina foi puramente ideológico. Fora que esse tá longe de ser o único problema. A falta de coordenação com os estados foi criminosa. O Brasil teve um dos números de mortes mais altos de todo o mundo. Ele tem culpa no cartório.,1,1,0,0,72124,338,730,,2025-04-01 12:03:55.571,2025-04-01 12:03:55.571
431777,"O bolsonarismo é feito de negacionismo. Negacionismo vacinal, negacionismo científico, negacionismo ambiental…Agora estão apostando no negacionismo da realidade. Bolsonaro JÁ ESTÁ inelegível. Por duas ações diferentes no TSE.",28,1,1,1,29106,8618,808,São Paulo,2025-04-01 12:06:34.530,2025-04-01 12:06:34.53
431779,@madoeks2 @CNNBrasil Bolsonaro já imprimiu carteira de vacinação falsa e minuta de golpe....falta só imprimir dinheiro.😆,47,4,0,0,128263,184,23,Criciúma - Brasil ,2025-04-01 12:09:12.311,2025-04-01 12:09:12.311
