id,description,likes,comments,shares,views,authorDataId,authorFollowers,authorFollowing,location,createdAt,updatedAt
375896,@casulo210321 @AmigodeDeus3 @JacyCarvalho Há recomendação de se atualizar essa vacina quando adulto. A Sociedade Brasileira de Imunizações (SBIm) recomenda que adultos recebam uma dose de reforço da vacina dTpa (que inclui proteção contra coqueluche) a cada 10 anos.https://t.co/N5egM1MeQs,1,1,0,0,111394,289,648,,2025-02-01 01:57:57.036,2025-02-01 01:57:57.036
375898,"@allfogaca @BolsonaroSP @realDonaldTrump @elonmusk Então seu jumento. Vamos aos factos: 1 - ele não obrigou ninguém a tomar 2 - se ele não disponibilizasse essa bosta, os cabeça oca iam ficar reclamando e chamando ele de muita merda (aposto que você iria ser um deles). Então para de falar bosta e vai tomar sua dose de reforço 😘",5,1,0,0,111395,309,792,Somewhere over the rainbow,2025-02-01 01:57:57.036,2025-02-01 01:57:57.036
376141,Saúde distribui novas doses da vacina contra a dengue e destaca importância do reforço do esquema vacinal https://t.co/nXKW85xcJJ,0,0,0,0,7206,28486,5404,,2025-02-01 03:43:41.359,2025-02-01 03:43:41.359
376163,Adultos vacinados há muito tempo podem ficar mais vulneráveis a doenças típicas da infância 💉 Entenda#PortalR7 #R7 https://t.co/0WuYvvLDsD,13,0,2,2,993,5117472,83,,2025-02-01 04:01:34.432,2025-02-01 04:01:34.432
376162,Como a queda nas taxas de vacinação pode levar ao retorno da paralisia infantil#PortalR7 #R7 https://t.co/RCvJ9q60jg,3,0,0,0,993,5117472,83,,2025-02-01 04:01:34.432,2025-02-01 04:01:34.432
376352,Vacinação contra a gripe nos shopping centers de Belém segue neste sábado; veja onde se vacinar https://t.co/fGcXf8ZVZz,0,0,0,0,2990,192563,231,,2025-02-01 05:45:22.405,2025-02-01 05:45:22.405
376354,Sespa alerta que faltam apenas três dias para o fim da campanha de vacinação contra gripe https://t.co/z4r2Wm2O7d,1,0,0,0,2990,192563,231,,2025-02-01 05:45:22.405,2025-02-01 05:45:22.405
376941,@Chief117Br Não seja injusto. A culpa é da baleia que não tomou vacina e causou mudanças climáticas…,4,0,1,1,32540,94,76,,2025-02-03 13:05:19.201,2025-02-03 13:05:19.201
377302,"Alagoas recebe mais de R$ 2,8 milhões para vacinação nas escolas - Jornal Extra de Alagoas https://t.co/mQFSnJLR2V via @ExtraAlagoas",0,0,0,0,70019,0,0,,2025-02-03 16:15:16.180,2025-02-03 16:15:16.18
377394,"@Rakaaguia @IceSohei Agradeça aos chineses que ""vacinaram"" uma parte desses 5 bilhões com água ao invés de veneno genético.",2,0,0,0,84333,481,398,,2025-02-03 17:09:38.860,2025-02-03 17:09:38.86
377393,"Hoje em dia o COVID ainda existe, as pessoas que se vacinaram ainda pegam, mas as mortes não são mais frequentes como eram e isso é uma vitória muito MUITO grande das vacinas",1,0,0,0,111913,189,283,"Roraima, Brazil",2025-02-03 17:09:38.860,2025-02-03 17:09:38.86
377392,"@HitAssassin @rafaelgloves ???? Em que Brasil você morou em 2020 a 2021?  Hoje tem ainda cidades no Brasil obrigando pais a vacinaram seus filhos , tem gente com causa na justiça por isso.... os negacionistas de hoje são vocês que empurraram esse experimento na gente.",31,6,0,0,111640,572,138,"Belém, Brazil",2025-02-03 17:09:38.860,2025-02-03 17:09:38.86
377391,"@Leozzeracrf @lorefisco @BubaBobaChan @rafaelgloves Pessoas que não se vacinaram, relatam os mesmos tipos de sequelas. O nome diss é Covid Longa: forma crônica dos sintomas da Covid19.",3,1,0,0,111714,80,307,"Belém, Brasil",2025-02-03 17:09:38.860,2025-02-03 17:09:38.86
377497,"@ddoughnt @Danieladiasl Futebol sendo um pão e circo q o sistema ""da"" pro manter o povo alienado. E de quebra tem essa parte de violência, ou ate morte. Redução populacional",4,0,0,0,112370,0,7,,2025-02-03 17:15:42.549,2025-02-03 17:15:42.549
377552,Alta nos casos de coqueluche reforça a importância da vacinação entre as gestantes#PortaliG #Coqueluche https://t.co/kgXGOtOVb9,0,0,0,0,9453,120618,2566,,2025-02-03 17:23:44.356,2025-02-03 17:23:44.356
377551,"A vacinação é a principal forma de combater a doença; medidas de proteção individual, como o uso do repelente, também ajudam#PortaliG #VacinaAmarelahttps://t.co/VEDjKrDk38",0,0,0,0,9453,120618,2566,,2025-02-03 17:23:44.356,2025-02-03 17:23:44.356
377647,Butantan estuda desenvolvimento de vacina em aerossol para pneumonia https://t.co/pKZbcWVjSY,134,3,18,18,247,2750643,3,,2025-02-03 19:41:33.712,2025-02-03 19:41:33.712
377678,"Urgente 🚨 PF faz buscas na casa do ex presidente Bolsonaro em operação que investiga a inserção de dados falsos sobre vacinação no sistema do Ministério da Saúde. Na mesma operação o ajudante de ordens Mauro Cid, braço direito de Bolsonaro, foi preso nesta manhã.Aguardemos os…",2910,95,196,196,68644,0,0,,2025-02-03 20:41:24.107,2025-02-03 20:41:24.107
377781,UK hits back at AstraZeneca over collapse of investment deal https://t.co/Mk8Buv6kF2 https://t.co/o5Ohikv1Sg,11,0,6,6,68697,0,0,,2025-02-03 22:52:33.414,2025-02-03 22:52:33.414
377988,"Calor, muita chuva. Cenário para a proliferação de mosquitos e os casos de dengue.A estratégia precisa mudar: mais municípios com vacina e ampliação da faixa etária.A cobertura vacinal está ruim. Falta conscientização, sobra vacina. https://t.co/nmgs8wBPc4",3,0,0,0,5720,2184,1864,,2025-02-03 23:34:53.555,2025-02-03 23:34:53.555
378051,IMUNIZAÇÃOCampanha de vacinação contra influenza em Manaus vai até dia 31 Leia mais em: https://t.co/2Jvw8nHbTf#CompartilheACrítica https://t.co/cqWdd904Xc,3,0,1,1,6247,0,0,,2025-02-04 00:25:06.349,2025-02-04 00:25:06.349
378052,SAÚDE Dengue: vacinação de crianças de 10 a 14 anos será realizada em seis pontos de Manaus no sábadoLeia mais em: https://t.co/gCFwto3n30#CompartilheACrítica https://t.co/UAvZXhnmoY,4,0,0,0,6247,0,0,,2025-02-04 00:25:06.349,2025-02-04 00:25:06.349
378079,“Revisão abrangente exige a retirada de TODAS as vacinas contra a COVID-19 do mercado”Dr. Peter McCullough“Os autores concluíram que a retirada imediata das vacinas contra a COVID-19 do mercado é essencial para evitar mais perdas de vidas”Link: https://t.co/7Df7Ecww4z https://t.co/cyWGFYXTcK,2,1,1,1,3110,1498,2609,,2025-02-04 00:56:17.026,2025-02-04 00:56:17.026
378080,@DelitoMoralLTDA Tem esse protocolo famoso de detox do Dr. Peter McCullough. https://t.co/0fnybyYnbe,3,4,0,0,101497,733,664,"Nanga Parbat, Pakistan ",2025-02-04 00:56:17.026,2025-02-04 00:56:17.026
378093,@bbtm33 @TradutordoBR Você conhece a Dr Maria Emília gadelha?,1,1,0,0,1523,26,18,,2025-02-04 00:56:54.701,2025-02-04 00:56:54.701
378094,E a vacina HPV...,54,2,20,20,15283,34465,1377,Portugal,2025-02-04 00:56:54.701,2025-02-04 00:56:54.701
378095,"""NÓS TIVEMOS QUE FAZER TUDO NO (SEU) RISCO""Lindo de ver...",99,5,29,29,15283,34465,1377,Portugal,2025-02-04 00:56:54.701,2025-02-04 00:56:54.701
378184,"@theXsentinel @AndreGA_Pe @Helena1Ferreira Procura, por favor. Não sou jornalista, então não guardo fontes, só informações, mas foi algum médico que sigo que postou lá no Instagram, daqueles que alertam sobre o milagre da Vax de COVID faz tempo.",1,0,0,0,2366,3117,3710,"SP, Brasil",2025-02-04 01:11:15.737,2025-02-04 01:11:15.737
378185,@IceSohei Quebrar estas Cias é nada diante da desgraça que causaram à humanidade. Seus diretores técnicos e comerciais tinham de ser obrigados a tomar 20 doses de cada vacina e pegar prisão perpétua!!! Nada traz de volta a vida de milhões de pessoas que foram inoculadas com este veneno.,14,0,2,2,34412,17,418,,2025-02-04 01:13:04.932,2025-02-04 01:13:04.932
378186,@bielconn Acabei de perder um Tio (há 2 horas) por mau súbito! Quem vai reparar a vida de pessoas inocentes que foram inoculadas com este lixo?!,23,3,2,2,85045,789,250,in your vibration,2025-02-04 01:13:04.932,2025-02-04 01:13:04.932
378187,"@filipe_rafaeli Rapaz. O pessoal investiu reputação, ódio político, a própria saúde nessas narrativas. Até admitir que possa ter se auto injetado com uma terapia genética e que o sistema de saúde contribuiu ativamente pra morte de milhões, vai um salto. Isso porque eu tomei uma dose de Pfizer.",11,3,1,1,83377,317,391,,2025-02-04 01:13:34.491,2025-02-04 01:13:34.491
378188,"@RobertoZeballo7 @ale_sblack Vacina de mRNA não é vacina. É terapia genética.Parabéns, Dr.Por mais médicos independentes como você.",2,0,0,0,5431,975,1010,Planet Earth,2025-02-04 01:13:34.491,2025-02-04 01:13:34.491
378189,"Você se infectou com o EXPERIMENTO BIOLÓGICO ASSASSINO, a TERAPIA GENÉTICA! Então quer um conselho, tome IVERMECTINA de 15 em 15 dias DIRETO "" pra sempre "" a dosagem tá na bula, 1 comprimido pra cada 30 kg de peso.https://t.co/h9UzqJjqkZ",1,0,0,0,111984,27,107,,2025-02-04 01:13:34.491,2025-02-04 01:13:34.491
378193,Recusa vacinal e desmatamento podem explicar alta da febre amarelahttps://t.co/7nUKErvGmW,20,13,1,1,610,8850824,165060,"São Paulo, Brazil",2025-02-04 01:14:43.812,2025-02-04 01:14:43.812
378196,Recusa vacinal e desmatamento explicam alta febre amarela https://t.co/qO1r0MV3CU,1,0,0,0,924,9924,30,"Sao Paulo, Brazil",2025-02-04 01:14:43.812,2025-02-04 01:14:43.812
378245,Butantan começa a produzir sua vacina contra a dengue➡️Expectativa é fabricar 1 milhão de doses em 2025https://t.co/DNmR1XxQ1z,2,0,0,0,354,7500,31,,2025-02-04 07:55:10.535,2025-02-04 07:55:10.535
378253,Desinteresse dos cidadãos pela vacina contra a dengue preocupa autoridades de saúde https://t.co/DgmjLJoCFD #g1,1053,388,114,114,12659,15136854,63,,2025-02-04 08:21:11.751,2025-02-04 08:21:11.751
378300,"Brasileiros devem ter primeira vacina contra a chikungunya, do Butantan, nas próximas semanas#PortalR7 #R7 https://t.co/IGdR2CowDI",11,0,2,2,993,5117472,83,,2025-02-04 09:34:30.740,2025-02-04 09:34:30.74
378299,Governo Federal destina R$ 150 milhões para ampliar vacinação nas escolas 💉#PortalR7 #R7 https://t.co/uMkqN2cpap,2,0,2,2,993,5117472,83,,2025-02-04 09:34:30.740,2025-02-04 09:34:30.74
378634,"@republiqueBRA Totalmente a favor,vão ajudar na redução populacional, já que não se reproduzem.",12,5,1,1,26578,463,2622,"Бронницы, Россия",2025-02-04 13:29:20.226,2025-02-04 13:29:20.226
