id,description,likes,comments,shares,views,authorDataId,authorFollowers,authorFollowing,location,createdAt,updatedAt
475883,Os autotestes da covid-19 estão disponíveis nas farmácias de juiz de fora. Você sabe como eles funcionam? Veja detalhes no link: https://t.co/o1xLbW4q0V#covid19 #tvalterosa https://t.co/N1q684JiWK,0,0,0,0,68643,0,0,,2025-06-01 00:02:58.532,2025-06-01 00:02:58.532
475884,Veja a lista de países que suspenderam compras de aves brasileiras devido à gripe aviária#PortalR7 #R7 #JR24H #JornalDaRecordhttps://t.co/nZmsWlpPNX,6,0,1,1,612,535817,40,,2025-06-01 00:03:10.560,2025-06-01 00:03:10.56
475886,"Carla Jordanna explicou que a pesquisa mencionada utiliza dados do Sistema de Informação sobre Mortalidade (SIM), ligado ao Ministério da SaúdeLeia mais 🔗 https://t.co/wiWQ1ZQkjP",0,0,0,0,68702,0,0,,2025-06-01 00:04:45.773,2025-06-01 00:04:45.773
475891,"Paulo Gonet, procurador-geral da República: não havendo provas autônomas, só delação, ele faz o certo sobre fraude a registro de vacina no que respeita a Bolsonaro Imagem: Pedro França/Agência Senado https://t.co/fjcKvM0qBH",475,0,65,65,128267,0,0,,2025-06-01 00:09:12.023,2025-06-01 00:09:12.023
475894,"RT @GloboNews: “Apesar de tudo isso (a atuação do Ministério da Saúde), a situação (dos yanomami) é grave, (...) e o Estado brasileiro não…",0,0,158,158,132435,0,0,,2025-06-01 00:12:38.410,2025-06-01 00:12:38.41
475897,"Ministro da Agricultura anuncia que foco de gripe aviária em Montenegro está contido. No raio de 10 quilômetros da granja afetada, foram identificados 540 estabelecimentos rurais, e todos já foram vistoriados. https://t.co/wMwaSUzQMohttps://t.co/wMwaSUzQMo",0,0,0,0,791,48693,803,,2025-06-01 00:14:15.684,2025-06-01 00:14:15.684
475901,RT @SaudeGovRS: O @minsaude informou a previsão de envio de doses de vacinas contra a dengue para o RS. O Centro Estadual de Vigilância em…,0,0,7,7,74550,0,0,,2025-06-01 00:17:45.897,2025-06-01 00:17:45.897
475916,Educação vai pedir comprovante de vacinação na volta as aulas em AL https://t.co/dIu8NAjU1m,0,0,0,0,74576,0,0,,2025-06-01 00:32:59.005,2025-06-01 00:32:59.005
475918,RT @oatila: Hora da Anvisa baixar uma norma de que só entra no Brasil quem tomou vacina contra COVID.,0,0,7542,7542,74577,0,0,,2025-06-01 00:34:10.131,2025-06-01 00:34:10.131
475921,"JAMAIS ESQUECEREMOS. A máfia dos vampiros, lembra, PETRALHA? Aquela organização que superfaturava e fraudava licitações no ramo de hemoderivados distribuídos à rede pública pelo Ministério da Saúde. Que desviou R$ 2 bilhões do MS entre 1992 e 2003. #OLadraoNaoVaiSubirARampa",113,5,17,17,68760,0,0,,2025-06-01 00:37:31.795,2025-06-01 00:37:31.795
