id,description,likes,comments,shares,views,authorDataId,authorFollowers,authorFollowing,location,createdAt,updatedAt
340868,"Covid-19: 90,2% da população tomou pelo menos uma dose da vacina desde pandemia#PortalR7 #R7 #JR24H #JornalDaRecord https://t.co/PGx9yeVvEE",0,2,0,0,612,535817,40,,2025-01-01 01:42:32.216,2025-01-01 01:42:32.216
340869,Sociedade de Pediatria atualiza calendário de vacinação de crianças e adolescentes de 2025#PortalR7 #R7 #JR24H #JornalDaRecord https://t.co/UHZejFYPq7,2,0,0,0,612,535817,40,,2025-01-01 01:42:32.216,2025-01-01 01:42:32.216
340985,Vacinação ACWY antimeningocócica liberada para profissionais de saúde e adolescentes de 11 a 14 anos no Rio. #Vacinação #Saúde #RioDeJaneiro #Meningite #SUS #ODia https://t.co/5qfbuzzIkV,5,0,2,2,883,914729,123,,2025-01-01 03:37:44.284,2025-01-01 03:37:44.284
340986,Covid-19: saiba como fica vacinação de idosos no calendário anual #MeiaHora https://t.co/hRjA8geCPM,2,0,1,1,4800,98640,5490,,2025-01-01 03:38:18.079,2025-01-01 03:38:18.079
341130,"@BlogPequi Eles, da elite, também não se vacinaram e foram orientados a isso?",15,0,1,1,74376,1286,1264,,2025-01-01 07:02:42.424,2025-01-01 07:02:42.424
341129,"@folha Olha aí os que pregam a narrativa da vacina, são tão entendidos de vacina que “tomam” num braço e dói no outro. ELES NÃO SE VACINARAM!  Mas querem que VOCÊ se vacine pois se preocupam muito com sua vida, confia, você não é um número. https://t.co/R0YsyVD6gQ",3,0,1,1,97991,16,68,United States,2025-01-01 07:02:42.424,2025-01-01 07:02:42.424
341128,"@folha Os não vacinados, já tiveram contato com o vírus em dois anos de pandemia. Resultado : ""imunes"".Grupos de risco certamente se vacinaram (várias vezes).Qual o terrorismo agora  ?",2,0,0,0,100146,4029,3906,"Vila Velha, Brasil",2025-01-01 07:02:42.424,2025-01-01 07:02:42.424
341126,"@_egosuperior @FeCastanhari Estou me lixando se o presidente se vacinou ou não, sendo que o 99% dos Brasileiros adultos vacinaram.Tem que ser muito imbecil para pautar a vacinação dependendo por exemplo se o barbudo ex-presidiário alcoolatra se vacinou ou não? uma pessoa que faz isso tem QI de macaco.",9,1,0,0,2921,10226,2139,"Miami, FL",2025-01-01 07:02:42.424,2025-01-01 07:02:42.424
341127,"@Macario762 @RespeitaCasada @Serafim_zx Vc deixou ser alienado, pois o brasil ficou top 10 dos paises que mais vacinaram! Nem países aonde q estavam sendo fabricados foram mais rápidos que o brasil. Mas a a questão nem e essa, o cara defendeu sua liberdade coisa q n vi nenhm outro politico fazendo !!",2,0,0,0,100145,4,14,,2025-01-01 07:02:42.424,2025-01-01 07:02:42.424
341133,@folha Não vacinei e nunca peguei 👍🏼,6,1,0,0,98002,94,366,,2025-01-01 07:03:20.333,2025-01-01 07:03:20.333
341134,"@folha Não me vacinei,peguei covid nais de uma vez,tô aqui firme e  forte 🙏🙏🙏🙏🙏",3,0,0,0,100143,49,390,,2025-01-01 07:03:20.333,2025-01-01 07:03:20.333
341135,Graças a Deus eu me vacinei com Rosmello e posteriormente com Sariette e eu tô achando é graça nessa movimentação toda e principalmente com os surtos de todos!! #Zelena https://t.co/Q1ltwjgXj3,5,0,0,0,100144,1186,722,"Rio Grande do Norte, Brasil",2025-01-01 07:03:20.333,2025-01-01 07:03:20.333
341136,@folha Eu vacinei e peguei essa merda!Vacina não faz a menor diferença para a COVID.Mas faz muita diferenca no seu organismo.Nao usem!- In my opinion,4,0,0,0,98267,1688,987,Estados Unidos,2025-01-01 07:03:20.333,2025-01-01 07:03:20.333
