tweet,index
"🚨 Emergência Global! 🌍💉 Criminosos da COVID estão tentando implementar um novo bloqueio planetário, desta vez usando a gripe aviária H5N1, criada em laboratório através de ganho de função. 🦠⚠️ Somente a exposição em massa 🌐 e a ação não violenta do público podem deter… https://t.co/75E84flr87",70
Campanha de vacinação contra a gripe prossegue até 31 de janeiro https://t.co/2ToXGia82S,208
"Neste sábado, 7 de dezembro, a Prefeitura de Belém realiza vacinação contra a gripe em shoppings. Confira horários e locais disponíveis.https://t.co/8yVs4upZ21",348
Campanha de vacinação contra a gripe já começou; veja quem deve tomar - Jornal Extra de Alagoas https://t.co/Z8G8GsuPzv via @ExtraAlagoas,566
Vacinação contra a gripe nos shopping centers de Belém segue neste sábado; veja onde se vacinar https://t.co/fGcXf8ZVZz,678
Sespa alerta que faltam apenas três dias para o fim da campanha de vacinação contra gripe https://t.co/z4r2Wm2O7d,679
"Campanha de vacinação contra a gripe é prorrogada até janeiro no Acre, diz Saúde ==&gt; https://t.co/8Y0gwa7FqP #g1AC",713
Campanha de vacinação conta a gripe é prorrogada no Pará. Veja até quando você pode se vacinar. https://t.co/aip2QaDouF,745
Campanha de vacinação contra a gripe prossegue até o dia 31 https://t.co/HdZ3dDNKDv,983
"💉 A vacinação contra a gripe vai começar neste sábado (16)! 👀 Confira o público, locais e horários.📍A aplicação acontecerá nas Unidades Saúde na Hora e SLZ Shopping. A partir de segunda (18), em todas as nossas Unidades Básicas de Saúde. Prepare o braço e #Partiu!💪🏽 https://t.co/8WdMqYSoj4",1074
"SAÚDENo Amazonas, campanha de vacinação contra a gripe é prorrogada até dia 31 de julhoLeia mais em: https://t.co/RAtJpc9cZR https://t.co/WF1muuB6wg",1087
"Governo anuncia primeira vacina 100% nacional e de dose única contra a dengue➡️Evento também reforça parcerias para assegurar acesso a insulinas, vacina nacional contra gripe aviária e vacina contra o Vírus Sincicial Respiratóriohttps://t.co/dhh01YRFFe",1362
"[#H1N1] A campanha de vacinação contra a influenza foi ampliada para toda a população alagoana acima dos 6 meses de idade.Em Alagoas, apenas 45% da população se vacinou contra a gripe.📲 Confira já nossa última matéria: https://t.co/X4uy6ko1XQ",1399
"Com o programa, após o início da campanha de vacinação contra a gripe, as equipes de saúde locais irão às escolas públicas para vacinar as crianças matriculadas, oferecendo as vacinas previstas para cada idade. Ação fundamental para ampliar a cobertura vacinal da população.",1460
"Vacina contra gripe é ofertada a toda a população de Belém a partir de sábado, 9 #g1Pará https://t.co/SG2rHrdnDo",1520
"Bom dia, pessoal! Bom final de semana! 🙏🏼Hoje é o 'Dia D' de vacinação contra a gripe na orla de Macapá. A ação começa a partir das 15h deste sábado e vai até as 18h.",1533
Saúde prorroga campanha de vacinação contra gripe Saiba mais em: https://t.co/8OX9nPat5D https://t.co/8OX9nPat5D,1571
"A partir de amanhã, 19/3, daremos início à vacinação contra a gripe em mais de 100 pontos espalhados pelo DF. A campanha tem como foco os principais grupos prioritários do @minsaude. Todas as informações podem ser encontradas na página da @secsaudedf.",1594
Vacina contra gripe no Pará: Campanha é prorrogada até o fim de janeiro e ampliada para toda população. #g1Pará➡️ https://t.co/lhRO27Qh2x,1716
"Vacina contra gripe é ofertada a toda a população de Belém a partir de sábado, 9 de novembro https://t.co/SG2rHrdnDo #g1Pará",1760
Campanha de vacinação contra a gripe começa no dia 7 de abril➡️Vacina passa a ficar disponível em unidades básicas de saúde ao longo de todo o anohttps://t.co/0lwC8O9rWz,1928
"Campanha de vacinação contra a gripe começa no dia 7 de abril A previsão é que, até o fim de março, 35 milhões de doses tenham sido entregues aos estados https://t.co/YEFWjp6tRr https://t.co/rko8zwENbF",1939
Padilha quer incluir Lula e Alckmin em campanha vacinal contra gripe https://t.co/Rpx25pRUJS,1972
"A vacina contra a gripe aviária servirá também contra todos os vírus da Influenza. Com capacidade de produção de 30 milhões de doses anuais, formaremos um estoque estratégico, permitindo ajustes rápidos conforme a evolução do patógeno. (+)https://t.co/QyJe3wl4t7",2070
"PROTEÇÃO | O Ministério da Saúde prorrogou a campanha de vacinação contra a gripe na região Norte até o dia 31 de janeiro. A estimativa é imunizar 6,6 milhões de pessoas na região. https://t.co/AVVjSO6hNV",2133
