tweet,index
"Covid-19: 90,2% da população tomou pelo menos uma dose da vacina desde pandemia#PortalR7 #R7 #JR24H #JornalDaRecord https://t.co/PGx9yeVvEE",0
"O CEO da Moderna, Stéphane Bancel, revelou um detalhe impressionante sobre o rápido desenvolvimento da vacina contra a COVID-19, admitindo que a empresa “copiou e colou” a sequência da proteína spike diretamente dos dados genéticos enviados pelo governo chinês.Você ouviu… https://t.co/46lr1oP1Ut",16
"🔊🚨🔊🚨 🍬 A Pfizer interrompeu a experimentação em animais da vacina contra a COVID porque os animais estavam morrendo👀🙊🙉🙈💉 Segundo relatos, a Pfizer suspendeu a experimentação em animais de sua vacina COVID-19 após a morte dos animais durante os testes.➡️ Críticos… https://t.co/fmRXQmAGLL",34
"@folha Esta  vacina 💉está matando ☠ pessoas pelo mundo 🌍 !!!...💉☠💉☠💉☠💉☠💉☠💉...Falavam quem não tomar a vacina da covid vai morrer 🤣...Eu não tomei nenhuma dose desta ""vacina da covid"" e estou com minha saúde 100%🤜🏾🤛🏾...",35
"@JessicaMBCM @AnnaMonteiroAn1 @foraEsquerdaB Não tenho a menor dúvida que o cérebro das pessoas estão sendo fritados pela substancias inoculadas como vacina (covid-19) . A fantasia que fomenta a mente oca do ser humano , os fizeram acreditar que existia um vírus e a grande maioria acreditou , mas condenará a todos .",36
Profissionais da saúde do Rio poderão tomar vacina contra a meningite https://t.co/J09BluckAF,38
Ministério da Saúde distribui 50 mil doses de vacina contra a Covid-19 para Mato Grosso https://t.co/oeutrmvr9I,45
"@bdgefi1 @Zanfa Fale para minha visinha que tomou a AstraZeneca e morreu de AVC com 25 anos.Você quer tomar a ""vacina contra convid"" tome todas e vá ser feliz.E não esqueça 2025 / 2026 tem nova epidemia, corra e a segure suas vacinas.",60
"@Tiiiina8 @claysonfelizola Pessoas adultas tem o livre arbítrio e o direito de não tomar vacina nenhuma, eu tomei quatro doses da vacina AstraZeneca. Meu cunhado, dois primos e três amigos tinham o pensamento igual ao seu.Eu estou aqui mas eles, infelizmente não.https://t.co/UAz7WdbBqv",64
"O Ministério da Saúde atualizou a estratégia de vacinação contra a Covid-19, incluindo idosos e gestantes no Calendário Nacional de Vacinação; e a imunização de crianças de 6 meses a menores de 5 anos com três doses da vacina da Pfizer. O pediatra e infectologista Renato Kfouri,… https://t.co/VkfoY4obNP",72
"“O panorama hoje é muito diferente do que foi no passado, mas não podemos negligenciar a Covid-19. Duas semanas antes do fim do ano, estamos com 5,8 mil mortes por Covid-19. Só perde para a dengue. (...) Nenhuma outra doença evitável por vacina faz tantas vítimas como a Covid… https://t.co/MZZC8lUQOr",73
Vacina para covid passa a ser de rotina para gestante e idoso. Confira as mudanaçs no calendário https://t.co/QW9EEyuJHd https://t.co/jlfcamgcIy,76
"A partir desta segunda, 04/11, o @minsaude  vai substituir as duas doses de reforço da vacina oral da poliomielite por uma dose de vacina injetável da VIP (vacina inativada poliomielite).#RepórterBrasilTarde https://t.co/iywXTVEmkj",86
"PÓLIO | Antes, as crianças recebiam três doses da vacina injetável aos 2, 4 e 6 meses e duas doses de reforço da gotinha. A partir desta segunda (4), a vacina de gotinha deixa de ser utilizada e o esquema vacinal terá apenas uma dose de reforço da vacina injetável aos 15 meses. https://t.co/y2ggND7iHn",94
"FIM DA GOTINHA | A vacina oral poliomielite (VOP) foi aposentada no Brasil. Popularmente conhecida como gotinha, a dose foi substituída pela vacina inativada poliomielite (VIP), aplicada no formato injetável.Entenda: https://t.co/Y3VOs0NiZV https://t.co/zjjY0TWBzl",95
Butantan pede registro de vacina contra dengue para Anvisahttps://t.co/DNfs3P9lTF,96
"💉 Em meio ao aumento de casos, Fortaleza e Sobral ficam sem vacina contra Covid-19 neste sábado (14)Municípios aguardam novas doses do Ministério da Saúdehttps://t.co/0XI6TFV8Jkhttps://t.co/0XI6TFV8Jk",98
💉 Postos de Fortaleza têm estoque de vacina da Covid zerado e secretarias afirmam que novas doses estarão disponíveis hojehttps://t.co/S6DRqR6T4xhttps://t.co/S6DRqR6T4x,99
"💉 Após zerar estoque, Fortaleza recebe novas doses de vacina da Covid para criançasImunizantes pediátricos devem estar disponíveis em 12 postos de saúde da cidade a partir de hoje (17); estoque de adultos ainda não está nos bairros. Veja locais: https://t.co/p256nicDLP https://t.co/SE6K4FCMHm",100
Primeira vacina em uma única dose contra a doençahttps://t.co/o30cjwdmA0#saúdeebemestar #ministériodasaúde #butantan #vacinacontraadengue #jornalhojeemdia,104
"Butantan pede à Anvisa registro da sua vacina contra a dengue, a 1ª do mundo em dose únicahttps://t.co/V27ZBIAdDh",105
